key,section,node,order,speaker,translation

# ===== Level 1: Ryan (Sunny) | sets level_1 | ends level_1_complete =====
# --- intro: Ryan_1_intro ---
0da72197e898ebe1,L01 Ryan,Ryan_1_intro,1,Ryan,Kimse var mı?
334d016f755cd6dc,L01 Ryan,Ryan_1_intro,2,Kobold,Merhaba!
dfba3eb46cb5fc14,L01 Ryan,Ryan_1_intro,3,Ryan,Ah merhaba! şey..
30985c07d735bdc3,L01 Ryan,Ryan_1_intro,4,Ryan,Buralarda bir yerde beni yıkayabilecek koboldların olduğu duydum da...
08c8207cff7cb565,L01 Ryan,Ryan_1_intro,5,Ryan,Doğru yere mi geldim acaba?
32cfb777c0a1ca30,L01 Ryan,Ryan_1_intro,6,Kobold,Mhm! <i>işte</i> o kobold ben oluyorum!
eec1e26d3338868e,L01 Ryan,Ryan_1_intro,7,Kobold,"Evet doğru, Drag'n wash'a hoş geldiniz!"
b8e3a13e8da1caf6,L01 Ryan,Ryan_1_intro,8,Ryan,"Haha, gerçekten de öylesin!"
84f325bca745e504,L01 Ryan,Ryan_1_intro,9,Ryan/Alexander,Harika!
line:6046bedf,L01 Ryan,Ryan_1_intro,9,Ryan,Harika!
900e8c593033c189,L01 Ryan,Ryan_1_intro,10,Ryan,İsmim Ryan. Şey...
092808653667e9ff,L01 Ryan,Ryan_1_intro,11,Ryan,içeri nasıl girebilirim?
0f3f0b7e817061e6,L01 Ryan,Ryan_1_intro,12,Kobold,"Bekle bir saniye, bariyeri açmam lazım."
b8a4a2d6c54c16d8,L01 Ryan,Ryan_1_intro,13,Kobold,İvit!
273533e355fd12cf,L01 Ryan,Ryan_1_intro,14,Ryan,Ne dedin...?
3faa3f1d46e0e544,L01 Ryan,Ryan_1_intro,15,Kobold,"Ah- şey... bariyeri açacağım!"
ce6db45f1866ad91,L01 Ryan,Ryan_1_intro,16,Ryan,"Ha, şimdi çözdüm! İçerideki tuşu yeni görüyorum"
425d9584e840b683,L01 Ryan,Ryan_1_intro,17,Ryan,"Peki, burada bekliyor olacağım. Teşekkürler."
# --- phone: Ryan_1_PhoneTutorial ---
9bb3073cec0eb0c7,L01 Ryan,Ryan_1_PhoneTutorial,1,Phone,"Alo, <i>'Drag'n wash franchise'ı 223'...</i> İlk müşterinle konuştun mu?"
276bc2be4d36787f,L01 Ryan,Ryan_1_PhoneTutorial,2,Kobold,Az önce konuştum!
d3c6dd1cf6eefa2a,L01 Ryan,Ryan_1_PhoneTutorial,3,Kobold,Evet.
38526f3244d3b009,L01 Ryan,Ryan_1_PhoneTutorial,4,Phone,"Ah, harika."
ab5df625bc76dbd4,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone/Ryan/Alexander/Conrad/Kobold,...
line:7426a997,L01 Ryan,Ryan_1_PhoneTutorial,5,Phone,...
4d4a3684433b7f10,L01 Ryan,Ryan_1_PhoneTutorial,6,Phone,Peki o zaman- Verimli bir gün dilerim.
07c91bff06f38512,L01 Ryan,Ryan_1_PhoneTutorial,7,Phone,"Alo, <i>'Drag'n wash franchise'ı 223'...</i> Müşterilerle nasıl etkileşim kuracağını çözdün mü?"
3d08b37cdf5c2183,L01 Ryan,Ryan_1_PhoneTutorial,8,Kobold,Yok...
01888febaebd67cd,L01 Ryan,Ryan_1_PhoneTutorial,9,Kobold,ama başaracağım!
085283be600618d2,L01 Ryan,Ryan_1_PhoneTutorial,10,Phone,Ah...
4ad86617a918d8ec,L01 Ryan,Ryan_1_PhoneTutorial,11,Phone,"O halde, pencereye git ve müşterinle konuş."
af789b5c60f24630,L01 Ryan,Ryan_1_PhoneTutorial,12,Phone,Tabii ki daha sonra onları içeri alman gerek.
bb645759b5bd99d4,L01 Ryan,Ryan_1_PhoneTutorial,13,Phone,Mükemmel. O zaman pencereye git ve müşterini selamla.
474ab3afa218a5df,L01 Ryan,Ryan_1_PhoneTutorial,14,Kobold,Tamam!
7d869361bdb13d98,L01 Ryan,Ryan_1_PhoneTutorial,15,Phone,Günün verimli geçsin.
# --- progress: Ryan_1_required ---
